avg_assists_per_game,avg_clean_sheet,avg_goals_against,avg_goals_scored,avg_own_goals,avg_red_cards_,avg_saves,avg_successful_tackles,avg_yellow_cards,current_value,gameweek_1_points,gameweek_2_points,gameweek_3_points,matches_played,player_id,total_assists_per_game,total_clean_sheet,total_goals_against,total_goals_scored,total_own_goals,total_red_cards_,total_saves,total_successful_tackles,total_yellow_cards
0.0,,,0.0,0.0,0.0,,0.0,0.0,8.7,0.00,0.00,,2,435,0,,,0,0,0,,0,0
0.0,,,0.3,0.0,0.0,,0.7,0.0,8.7,2.00,10.00,0.00,3,398,0,,,1,0,0,,2,0
0.0,1.0,,0.0,0.0,0.0,,0.3,0.3,8.7,1.00,1.00,1.00,3,51,0,3,,0,0,0,,1,1
0.0,,,0.0,0.0,0.0,,0.0,0.5,8.6,-1.00,0.00,0.00,2,711,0,,,0,0,0,,0,1
0.0,,,0.0,0.0,0.0,,0.0,1.0,8.6,0.00,0.00,-1.00,1,505,0,,,0,0,0,,0,1
0.5,0.0,,0.0,0.0,0.0,,0.0,0.0,8.4,0.00,6.00,,2,431,1,0,,0,0,0,,0,0
-,,,-,-,-,,-,-,7.7,0.00,0.00,0.00,0,60,0,,,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.3,7.6,-1.00,0.00,0.00,3,550,0,0,,0,0,0,,0,1
0.0,,,0.0,0.0,0.0,,0.5,0.5,7.2,,0.00,0.00,2,1025,0,,,0,0,0,,1,1
0.0,0.3,,0.3,0.0,0.0,,1.0,0.0,7.2,1.00,2.00,13.00,3,815,0,1,,1,0,0,,3,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,6.9,0.00,0.00,,1,989,0,,,0,0,0,,0,0
0.0,0.3,1.7,1.0,0.0,0.0,,0.7,0.3,6.9,20.00,27.00,-2.00,3,566,0,1,5,3,0,0,,2,1
0.0,,,1.5,0.0,0.0,,1.5,0.0,6.8,11.00,22.00,,2,1003,0,,,3,0,0,,3,0
0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,6.8,4.00,6.00,0.00,2,35,0,2,0,0,0,0,,2,0
0.0,1.0,0.0,0.0,0.0,0.0,,0.7,0.3,6.8,6.00,3.00,4.00,3,4,0,3,0,0,0,0,,2,1
0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,6.7,0.00,0.00,1.00,1,980,0,0,,0,0,0,,1,0
0.0,,,1.0,0.0,0.0,,1.0,0.0,6.7,20.00,2.00,,2,810,0,,,2,0,0,,2,0
0.0,0.5,,0.0,0.0,0.0,,0.5,0.0,6.4,0.00,2.00,0.00,2,742,0,1,,0,0,0,,1,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,6.2,0.00,0.00,0.00,1,1019,0,,,0,0,0,,0,0
0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.0,6.2,5.00,4.00,0.00,2,823,0,2,0,0,0,0,,1,0
0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,6.2,0.00,0.00,1.00,1,654,0,1,,0,0,0,,0,0
